iter	Passed	Remaining
1239	97653	59852
1240	97728	59771
1241	97797	59686
1242	97866	59601
1243	97946	59523
1244	98029	59447
1245	98140	59388
1246	98225	59313
1247	98316	59242
1248	98400	59166
1249	98510	59106
1250	98610	59040
1251	98680	58956
1252	98752	58873
1253	98834	58796
1254	98904	58712
1255	98987	58635
1256	99056	58551
1257	99136	58473
1258	99229	58402
1259	99303	58320
1260	99371	58236
1261	99433	58147
1262	99519	58072
1263	99608	58000
1264	99692	57924
1265	99763	57840
1266	99839	57760
1267	99905	57674
1268	99970	57587
1269	100040	57503
1270	100129	57430
1271	100205	57350
1272	100286	57272
1273	100359	57190
1274	100425	57104
1275	100493	57019
1276	100569	56939
1277	100635	56853
1278	100697	56765
1279	100770	56683
1280	100841	56600
1281	100930	56527
1282	100998	56442
1283	101074	56362
1284	101163	56289
1285	101230	56204
1286	101304	56123
1287	101397	56052
1288	101468	55969
1289	101548	55891
1290	101634	55816
1291	101718	55740
1292	101780	55652
1293	101849	55568
1294	101924	55488
1295	101994	55404
1296	102075	55326
1297	102145	55243
1298	102221	55163
1299	102287	55078
1300	102353	54992
1301	102435	54915
1302	102498	54828
1303	102584	54753
1304	102676	54682
1305	102746	54599
1306	102818	54516
1307	102889	54433
1308	102961	54351
1309	103054	54280
1310	103131	54201
1311	103204	54119
1312	103287	54043
1313	103373	53968
1314	103456	53891
1315	103526	53808
1316	103589	53721
1317	103649	53633
1318	103714	53547
1319	103780	53462
1320	103849	53379
1321	103920	53296
1322	104005	53221
1323	104082	53141
1324	104159	53062
1325	104239	52984
1326	104316	52904
1327	104405	52831
1328	104474	52748
1329	104560	52673
1330	104617	52583
1331	104696	52505
1332	104763	52420
1333	104850	52346
1334	104954	52280
1335	105028	52200
1336	105111	52123
1337	105188	52043
1338	105286	51974
1339	105377	51902
1340	105459	51825
1341	105524	51740
1342	105598	51658
1343	105662	51573
1344	105730	51489
1345	105801	51407
1346	105890	51333
1347	105953	51247
1348	106034	51170
1349	106131	51100
1350	106214	51023
1351	106283	50940
1352	106350	50856
1353	106443	50784
1354	106513	50702
1355	106600	50627
1356	106696	50556
1357	106765	50473
1358	106837	50391
1359	106908	50310
1360	106983	50229
1361	107063	50151
1362	107141	50072
1363	107220	49994
1364	107285	49909
1365	107353	49825
1366	107439	49750
1367	107509	49667
1368	107620	49604
1369	107755	49551
1370	107849	49480
1371	107945	49409
1372	108012	49325
1373	108114	49257
1374	108200	49181
1375	108272	49100
1376	108344	49018
1377	108407	48932
1378	108480	48851
1379	108571	48778
1380	108667	48707
1381	108782	48645
1382	108894	48581
1383	108979	48505
1384	109088	48439
1385	109178	48366
1386	109251	48285
1387	109319	48201
1388	109390	48119
1389	109475	48043
1390	109563	47968
1391	109640	47888
1392	109729	47814
1393	109812	47737
1394	109899	47662
1395	109963	47577
1396	110030	47493
1397	110111	47415
1398	110207	47344
1399	110287	47266
1400	110355	47182
1401	110426	47100
1402	110490	47015
1403	110559	46932
1404	110625	46848
1405	110692	46764
1406	110758	46680
1407	110821	46595
1408	110892	46513
1409	110988	46442
1410	111064	46362
1411	111151	46286
1412	111218	46203
1413	111308	46129
1414	111383	46049
1415	111458	45968
1416	111535	45889
1417	111603	45806
1418	111688	45729
1419	111773	45653
1420	111841	45571
1421	111915	45490
1422	112003	45415
1423	112086	45338
